load_zone	timepoint	load_component	load_mw
Zone1	20200101	all	10.0
Zone1	20200102	all	20.0
Zone1	203010101	all	10.0
Zone1	203010102	all	20.0
Zone1	203020101	all	40.0
Zone1	203020102	all	50.0
Zone1	204010101	all	10.0
Zone1	204010102	all	20.0
Zone1	204020101	all	25.0
Zone1	204020102	all	35.0
Zone1	204030101	all	25.0
Zone1	204030102	all	35.0
Zone1	204040101	all	40.0
Zone1	204040102	all	50.0
Zone2	20200101	all	10.0
Zone2	20200102	all	10.0
Zone2	203010101	all	10.0
Zone2	203010102	all	10.0
Zone2	203020101	all	40.0
Zone2	203020102	all	50.0
Zone2	204010101	all	10.0
Zone2	204010102	all	10.0
Zone2	204020101	all	20.0
Zone2	204020102	all	30.0
Zone2	204030101	all	20.0
Zone2	204030102	all	30.0
Zone2	204040101	all	40.0
Zone2	204040102	all	50.0
