timepoint	period	timepoint_weight	number_of_hours_in_timepoint	previous_stage_timepoint_map	month	day_of_month	hour_of_day
20200101	2020	4380.0	1	.	1	.	1.0
20200102	2020	4380.0	1	.	1	.	2.0
203010101	20301	4380.0	1	.	1	.	1.0
203010102	20301	4380.0	1	.	1	.	2.0
203020101	20302	4380.0	1	.	1	.	1.0
203020102	20302	4380.0	1	.	1	.	2.0
204010101	20401	4380.0	1	.	1	.	1.0
204010102	20401	4380.0	1	.	1	.	2.0
204020101	20402	4380.0	1	.	1	.	1.0
204020102	20402	4380.0	1	.	1	.	2.0
204030101	20403	4380.0	1	.	1	.	1.0
204030102	20403	4380.0	1	.	1	.	2.0
204040101	20404	4380.0	1	.	1	.	1.0
204040102	20404	4380.0	1	.	1	.	2.0
