project	timepoint	cap_factor
Wind	20200101	0.9
Wind	20200102	0.5
Wind	203010101	0.9
Wind	203010102	0.5
Wind	203020101	0.9
Wind	203020102	0.5
Wind	204010101	0.9
Wind	204010102	0.5
Wind	204020101	0.9
Wind	204020102	0.5
Wind	204030101	0.9
Wind	204030102	0.5
Wind	204040101	0.9
Wind	204040102	0.5
Wind_z2	20200101	0.9
Wind_z2	20200102	0.5
Wind_z2	203010101	0.9
Wind_z2	203010102	0.5
Wind_z2	203020101	0.9
Wind_z2	203020102	0.5
Wind_z2	204010101	0.9
Wind_z2	204010102	0.5
Wind_z2	204020101	0.9
Wind_z2	204020102	0.5
Wind_z2	204030101	0.9
Wind_z2	204030102	0.5
Wind_z2	204040101	0.9
Wind_z2	204040102	0.5
