project	timepoint	cap_factor
10__Solar	1	0.0
10__Solar	2	0.0
10__Solar	3	0.0
10__Solar	4	0.0
10__Solar	5	0.0
10__Solar	6	0.0
10__Solar	7	0.0
10__Solar	8	0.182691727
10__Solar	9	0.625667812
10__Solar	10	0.73438742
10__Solar	11	0.738385581
10__Solar	12	0.737546743
10__Solar	13	0.730728095
10__Solar	14	0.705536994
10__Solar	15	0.601942101
10__Solar	16	0.243293388
10__Solar	17	0.00276587
10__Solar	18	0.0
10__Solar	19	0.0
10__Solar	20	0.0
10__Solar	21	0.0
10__Solar	22	0.0
10__Solar	23	0.0
10__Solar	24	0.0
11__Wind	1	0.496702506
11__Wind	2	0.467220659
11__Wind	3	0.371459376
11__Wind	4	0.361631145
11__Wind	5	0.402834151
11__Wind	6	0.370533405
11__Wind	7	0.392180093
11__Wind	8	0.28242467
11__Wind	9	0.071037463
11__Wind	10	0.060483181
11__Wind	11	0.032595703
11__Wind	12	0.026520439
11__Wind	13	0.020629668
11__Wind	14	0.015829517
11__Wind	15	0.017705516
11__Wind	16	0.021157958
11__Wind	17	0.041152288
11__Wind	18	0.08062629
11__Wind	19	0.117840914
11__Wind	20	0.101971562
11__Wind	21	0.093677894
11__Wind	22	0.092268416
11__Wind	23	0.068861384
11__Wind	24	0.034831303
12__Wind	1	0.496702506
12__Wind	2	0.467220659
12__Wind	3	0.371459376
12__Wind	4	0.361631145
12__Wind	5	0.402834151
12__Wind	6	0.370533405
12__Wind	7	0.392180093
12__Wind	8	0.28242467
12__Wind	9	0.071037463
12__Wind	10	0.060483181
12__Wind	11	0.032595703
12__Wind	12	0.026520439
12__Wind	13	0.020629668
12__Wind	14	0.015829517
12__Wind	15	0.017705516
12__Wind	16	0.021157958
12__Wind	17	0.041152288
12__Wind	18	0.08062629
12__Wind	19	0.117840914
12__Wind	20	0.101971562
12__Wind	21	0.093677894
12__Wind	22	0.092268416
12__Wind	23	0.068861384
12__Wind	24	0.034831303
4__Solar	1	0.0
4__Solar	2	0.0
4__Solar	3	0.0
4__Solar	4	0.0
4__Solar	5	0.0
4__Solar	6	0.0
4__Solar	7	0.0
4__Solar	8	0.186373846
4__Solar	9	0.423381323
4__Solar	10	0.644571765
4__Solar	11	0.719970283
4__Solar	12	0.689136165
4__Solar	13	0.686220623
4__Solar	14	0.677499985
4__Solar	15	0.523074117
4__Solar	16	0.338409657
4__Solar	17	0.001148738
4__Solar	18	0.0
4__Solar	19	0.0
4__Solar	20	0.0
4__Solar	21	0.0
4__Solar	22	0.0
4__Solar	23	0.0
4__Solar	24	0.0
5__Wind	1	0.699066216
5__Wind	2	0.804794477
5__Wind	3	0.753185047
5__Wind	4	0.701416914
5__Wind	5	0.677289991
5__Wind	6	0.674763973
5__Wind	7	0.731923008
5__Wind	8	0.74791863
5__Wind	9	0.609634792
5__Wind	10	0.471942093
5__Wind	11	0.400663621
5__Wind	12	0.379442287
5__Wind	13	0.361615923
5__Wind	14	0.381563128
5__Wind	15	0.306907329
5__Wind	16	0.280251327
5__Wind	17	0.370894657
5__Wind	18	0.365857628
5__Wind	19	0.232538772
5__Wind	20	0.340010141
5__Wind	21	0.374054705
5__Wind	22	0.26642542
5__Wind	23	0.20769873
5__Wind	24	0.203304344
6__Wind	1	0.699066216
6__Wind	2	0.804794477
6__Wind	3	0.753185047
6__Wind	4	0.701416914
6__Wind	5	0.677289991
6__Wind	6	0.674763973
6__Wind	7	0.731923008
6__Wind	8	0.74791863
6__Wind	9	0.609634792
6__Wind	10	0.471942093
6__Wind	11	0.400663621
6__Wind	12	0.379442287
6__Wind	13	0.361615923
6__Wind	14	0.381563128
6__Wind	15	0.306907329
6__Wind	16	0.280251327
6__Wind	17	0.370894657
6__Wind	18	0.365857628
6__Wind	19	0.232538772
6__Wind	20	0.340010141
6__Wind	21	0.374054705
6__Wind	22	0.26642542
6__Wind	23	0.20769873
6__Wind	24	0.203304344
